name,Temperature,top_k,top_p,Oracle Entropy,empirical_unigram_entropy,Bigram Entropy,FBD Score,OT Distance,ref_oracle_entropy,ref_bigram_entropy,Perplexity (PPL),Round
Temp_0.6,0.6,50,0.95,1.3422147541865705,6.787237893300435,10.531979376750302,0.41729158135920086,1.0669323522338217,3.5910967597583356,11.364064207960974,44.72643280029297,3
Temp_0.8,0.8,50,0.95,1.7678538994252682,6.887661552887086,10.828851254628441,0.4181898608278338,1.07487860387573,3.5910967597583356,11.364064207960974,35.42708969116211,3
Temp_1.0,1.0,50,0.95,2.339226236127317,6.995123241265675,11.181884647549687,0.42428984120669777,1.0837273607183828,3.5910967597583356,11.364064207960974,30.87615966796875,3
Temp_1.2,1.2,50,0.95,2.727363583447039,7.12045319754721,11.54879246623001,0.4276404205846205,1.0889899756223984,3.5910967597583356,11.364064207960974,28.76049041748047,3
Temp_1.4,1.4,50,0.95,2.999768317365646,7.247781329185433,11.890294720730092,0.4329564577526699,1.0956819662007222,3.5910967597583356,11.364064207960974,27.885665893554688,3
Temp_1.6,1.6,50,0.95,3.2363887400478126,7.3745136272295975,12.210451393770079,0.43890366521002067,1.1007407807397267,3.5910967597583356,11.364064207960974,27.845924377441406,3
Temp_1.8,1.8,50,0.95,3.410754558232427,7.486159638849998,12.46273708215759,0.4423435063544958,1.1031231916060396,3.5910967597583356,11.364064207960974,27.737165451049805,3
Temp_2.0,2.0,50,0.95,3.546758398592472,7.582709040915429,12.66595201473963,0.44224141512607984,1.1040755803444224,3.5910967597583356,11.364064207960974,27.75425148010254,3
Temp_0.2,0.2,50,0.95,0.9595339555159211,6.533412759463842,9.87806385850583,0.40872436995986283,1.052204346871324,3.5910967597583356,11.364064207960974,83.32543182373047,4
Temp_0.4,0.4,50,0.95,1.023867967222631,6.5880385783567705,10.018899507049985,0.40785794925453733,1.0542821375834284,3.5910967597583356,11.364064207960974,67.66207122802734,4
Temp_0.6,0.6,50,0.95,1.1849754652395845,6.655270373890433,10.195817414250298,0.4078163325415336,1.058298371562364,3.5910967597583356,11.364064207960974,48.9499397277832,4
Temp_0.8,0.8,50,0.95,1.495642658534646,6.769238232820377,10.498252151903271,0.4083721028403766,1.066342219150611,3.5910967597583356,11.364064207960974,37.48605728149414,4
Temp_1.0,1.0,50,0.95,1.957727411597967,6.87501481560194,10.810178972632139,0.4124090082190808,1.0744597594230647,3.5910967597583356,11.364064207960974,32.208133697509766,4
Temp_1.2,1.2,50,0.95,2.3886069669246672,7.014166341561972,11.212462238994167,0.417358976603756,1.082843063291646,3.5910967597583356,11.364064207960974,29.699003219604492,4
Temp_1.4,1.4,50,0.95,2.7113214976534246,7.161735342328049,11.599712941101279,0.4226172074035157,1.0900828943672995,3.5910967597583356,11.364064207960974,28.634380340576172,4
Temp_1.6,1.6,50,0.95,2.995437498532236,7.3244846668275825,12.000183069322457,0.43042929199905533,1.0959696106612797,3.5910967597583356,11.364064207960974,28.22882080078125,4
Temp_1.8,1.8,50,0.95,3.2686705193027854,7.47371666944881,12.360122161651569,0.439236078416245,1.1014099978304825,3.5910967597583356,11.364064207960974,28.119888305664062,4
Temp_2.0,2.0,50,0.95,3.4740754265308382,7.585795588978786,12.617369048058272,0.44236845724848095,1.1027974817429747,3.5910967597583356,11.364064207960974,27.319623947143555,4
Temp_0.2,0.2,50,0.95,0.8306972945481539,6.524940214983367,9.84928967566302,0.41283172416856284,1.0502342941555374,3.5910966896944863,11.364064207960974,85.88618469238281,5
Temp_0.4,0.4,50,0.95,0.8771415304109454,6.57171594151109,9.965544018071261,0.41154445927764405,1.0523647584389746,3.5910966896944863,11.364064207960974,71.7098617553711,5
Temp_0.6,0.6,50,0.95,0.9842044784650207,6.633203943083765,10.124002367336171,0.409666546268006,1.0545970766155395,3.5910966896944863,11.364064207960974,52.79492950439453,5
Temp_0.8,0.8,50,0.95,1.188304311852157,6.7009948910663315,10.3147671644619,0.40867556674884287,1.0597695992408727,3.5910966896944863,11.364064207960974,41.03429412841797,5
